題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
O225,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某語音辨識系統需分析長時間的語音序列，發現當句子較長時，模型難以保留長時間序列中的前段資訊，導致辨識準確度下降。為改善此問題，下列何種模型最適合？,（A）長短期記憶網路（LSTM）；（B）循環神經網路（RNN）；（C）卷積神經網路（CNN）；（D）生成式對抗網路（GAN）,A｜長短期記憶網路（LSTM）,"長短期記憶網路（Long Short-Term Memory, LSTM）是 RNN 的改良架構，透過記憶單元與閘門機制控制資訊的保留與遺忘，可減輕傳統 RNN 在長序列中容易出現的梯度消失與長期依賴問題。因此當語音序列較長、模型需要保留前段資訊時，LSTM 較適合，答案是（A）。",可以把 LSTM 想成「比較會記得前面重要內容的 RNN」。例如一句語音很長，前面提到的關鍵詞可能會影響後面整句的判斷，傳統 RNN 容易隨時間把早期資訊淡忘；LSTM 則透過 Input Gate、Forget Gate、Output Gate 決定哪些資訊要留下。CNN 主要擅長局部特徵，GAN 則是生成式模型。**長序列＋需要長期記憶＝LSTM。**所以答案是（A）。
O226,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某大型連鎖超市建置生鮮商品損耗預測模型，以減少報廢損失。資料庫中共有120 萬筆銷售紀錄，但僅有約 8 萬筆資料標記為「正常銷售」或「損耗發生」，其餘資料均未標註。在標註資源有限的情況下，團隊希望提升模型預測表現。請問下列哪一種機器學習方式最適合此情境？,（A）監督式學習（Supervised Learning），以 8 萬筆已標註資料訓練分類模型，捨棄其餘 112 萬筆無標註資料；（B）半監督式學習（Semi-supervised Learning），同時利用少量已標註資料學習分類邊界，並從大量無標註資料中學習資料整體分布特性；（C）非監督式學習（Unsupervised Learning），對全部 120 萬筆資料進行自動分群，再由專家事後人工確認各群所代表的損耗類型；（D）強化學習（Reinforcement Learning），讓模型在每次預測後依據實際損耗結果作為回饋訊號，持續調整損耗預警策略,B｜半監督式學習（Semi-supervised Learning），同時利用少量已標註資料學習分類邊界，並從大量無標註資料中學習資料整體分布特性,半監督式學習（Semi-supervised Learning）適合「少量已標註資料＋大量未標註資料」的情境，可利用已標註資料學習分類目標，同時利用無標註資料中的分布與結構資訊來改善模型表現。題目中僅約 8 萬筆有標籤，而其餘 112 萬筆皆未標註，因此答案是（B）。,可以把 Semi-supervised Learning 想成「少數資料有答案，大量資料沒答案，但全部都不要浪費」。如果只用 8 萬筆已標註資料做 Supervised Learning，就等於把 112 萬筆資料全部丟掉；半監督式學習則可以先用已標註資料建立分類能力，再利用大量無標註資料的分布特性幫助模型學得更穩。Unsupervised Learning 雖能分群，但不能直接保證群組就等於「正常／損耗」標籤；Reinforcement Learning 也不是這種資料設定的首選。**少量標註＋大量未標註＝Semi-supervised Learning。**所以答案是（B）。
O227,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某製造業評估在不同場景導入 AI，包含：（甲）依據設備感測器數值判斷是否出現異常；（乙）依據客服對話內容判斷客戶情緒；（丙）依據產品影像輪廓直接進行瑕疵分類。下列哪一種情境最適合以自編碼器（Autoencoder）作為主要模型架構？,（A）甲；（B）乙；（C）丙；（D）甲與丙,A｜甲,自編碼器（Autoencoder）是一種透過編碼器（Encoder）將輸入壓縮成潛在表示，再由解碼器（Decoder）重建原始資料的神經網路架構，常應用於降維、特徵學習與異常偵測。若主要以大量正常設備感測資料訓練，自編碼器通常能良好重建正常訊號，而異常訊號的重建誤差較大，因此適合用於設備異常偵測，所以答案是（A）甲。,可以把 Autoencoder 想成「先學會正常資料長什麼樣子，再看哪些資料重建不起來」。例如機台平常的溫度、震動、電流都有固定模式，模型學熟正常狀態後，若突然出現特殊訊號，重建誤差就可能明顯變大，因此可判斷為異常。乙是客服情緒判斷，比較偏 NLP 分類；丙是產品影像瑕疵分類，通常直接使用 CNN 等監督式影像分類模型更合適。**正常模式學習＋重建誤差找異常＝Autoencoder。**所以答案是（A）。
O228,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某 AI 團隊正在訓練一個深度神經網路，用於辨識工廠產線上的瑕疵零件。工程師發現訓練過程中損失函數震盪幅度大，且不同批次資料造成模型學習方向不穩定。為改善此問題，團隊在各隱藏層加入 Batch Normalization 機制。請問此調整在訓練階段最主要的作用為何？,（A）將輸入影像標準化，使不同類別的特徵分布更加一致；（B）自動調整模型權重初始化方式，以避免訓練初期震盪；（C）增加模型隱藏層的非線性能力，以提升分類精度上限；（D）降低不同批次輸入造成的內部特徵分布變動，使梯度更新更穩定,D｜降低不同批次輸入造成的內部特徵分布變動，使梯度更新更穩定,Batch Normalization 會在神經網路訓練過程中，對每個 mini-batch 的中間特徵進行正規化，再透過可學習參數調整尺度與偏移，有助於降低不同批次造成的特徵分布波動，使梯度更新與訓練過程更穩定，並常能加速模型收斂。因此答案是（D）。,可以把 Batch Normalization 想成「每一批資料進到下一層之前，先把數值範圍整理得比較穩定」。如果不同 batch 的特徵一下很大、一下很小，梯度更新方向就可能一直震盪；加入 Batch Normalization 後，各層收到的特徵尺度會較穩定，模型通常更容易訓練。它不是在增加新的非線性能力，也不是直接替你決定權重初始化。**降低批次間特徵波動＋讓梯度更新更穩定＝Batch Normalization 的主要作用。**所以答案是（D）。
O229,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某 AI 研究團隊採用 GRPO（Group Relative Policy Optimization）作為一種基於強化學習的模型優化方法，用於提升大型語言模型的表現。請問 GRPO 最適合用來強化模型在哪一類任務上的表現？,（A）判斷客服留言的情緒傾向，將每則訊息快速歸類為正面、負面或中性；（B）將客服電話錄音即時轉換為文字，供後續人工審閱使用；（C）針對數學應用題或邏輯謎題，逐步推導出正確解答；（D）分析商品圖片的外觀特徵，自動辨識類別與品項,C｜針對數學應用題或邏輯謎題，逐步推導出正確解答,GRPO（Group Relative Policy Optimization）是一種用於大型語言模型強化學習最佳化的方法，最初即被用來提升模型的數學推理能力。其核心概念是針對同一問題產生多個回答，依群組內不同回答所得的獎勵進行相對比較，進而調整模型策略，因此特別適合具有可評估正確性、需要多步推理的數學與邏輯任務，所以答案是（C）。,可以把 GRPO 想成「同一題讓模型想出好幾種答案，再比較哪一種推理結果比較好，接著強化好的解題策略」。例如一道數學應用題，模型產生多組不同推導方式，再根據答案正確性或獎勵分數比較這些回答，逐漸學會更有效的推理方法。原始 DeepSeekMath 研究就是利用 GRPO 強化數學推理能力，而不是主要拿來做語音轉文字或影像辨識。**需要多步推理＋答案可給予明確獎勵＝GRPO 很典型的應用。**所以答案是（C）。
O230,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,"某法律科技公司開發一套合約風險審查系統，可自動分析合約內容並標示潛在的高風險條款。律師在使用過程中，希望了解模型做出風險判斷的依據，因此系統導入顯著性圖（Saliency Map）作為可解釋 AI 的方法。請問在此自然語言處理（Natural Language Processing, NLP）應用情境中，顯著性圖主要用來標示什麼？",（A）合約中各段落之間的語意相似程度，協助辨識重複或可能矛盾的條款；（B）模型在進行預測時，輸入文字中對結果影響程度較高的文字片段；（C）不同版本合約之間的文字差異，用以標示新增或修改的條款位置；（D）模型在訓練資料中學習到的高頻詞彙，反映常見的風險相關用語,B｜模型在進行預測時，輸入文字中對結果影響程度較高的文字片段,"顯著性圖（Saliency Map）是一種可解釋 AI（Explainable AI, XAI）方法，用來呈現輸入資料中哪些部分對模型特定預測結果具有較大的影響。在 NLP 情境中，可將重要性分數對應到字詞、Token 或文字片段，使使用者了解哪些內容較大程度影響模型的風險判斷，因此答案是（B）。",可以把 Saliency Map 想成「幫模型畫重點」。例如合約裡出現「得隨時單方面終止契約」、「不負任何賠償責任」等文字，而模型把這份合約判為高風險，Saliency Map 可以標出哪些字詞或句子對這次判斷影響最大。它不是比較兩份合約差在哪裡，也不是統計訓練資料最常出現哪些詞。**標示這一次預測中最影響結果的輸入內容＝Saliency Map。**所以答案是（B）。
O231,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,"某製造業 AI 品質預測模型採用部分依賴圖（Partial Dependence Plots, PDP）分析特徵影響效果。資料科學家希望了解「溫度特徵」對良品率的整體影響趨勢，但主管進一步詢問，是否能用 PDP 判斷某一筆瑕疵產品批次資料中，溫度是否為主要原因。下列何者最能說明 PDP 在此情境中的限制？",（A）PDP 無法顯示模型的預測準確率；（B）PDP 僅能反映模型輸出結果，無法提供任何特徵影響的資訊；（C）PDP 僅能用於單一特徵分析，無法同時考慮多個特徵的影響；（D）PDP 僅呈現整體趨勢，無法判斷單一批次的原因,D｜PDP 僅呈現整體趨勢，無法判斷單一批次的原因,"部分依賴圖（Partial Dependence Plot, PDP）用來呈現某一特徵或少數特徵在整體資料分布下，對模型預測結果的平均影響趨勢，因此屬於較偏向全局（Global）的解釋方法。它可以說明「溫度升高時，整體而言模型預測的良品率如何變化」，但無法直接判斷某一筆特定瑕疵批次中，溫度是否就是造成該結果的主要原因，因此答案是（D）。",可以把 PDP 想成「看全班趨勢，不是看某一個學生為什麼考不好」。例如 PDP 可以告訴你，整體資料中當溫度從 25°C 升到 35°C 時，模型預測的良品率通常下降；但如果主管問「這一批產品出問題是不是因為溫度？」PDP 就不能直接回答，因為它不是針對單筆資料做局部解釋。若要分析單一批次，通常會使用 SHAP、LIME 等 Local Explanation 方法。**PDP＝整體平均趨勢，不適合判斷單筆原因。**所以答案是（D）。
O232,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某銀行使用 LIME（Local Interpretable Model-agnostic Explanations）來解釋其信貸審核模型的決策結果。分析師在閱讀解釋報告時，看到系統建立了一個簡化模型來近似原模型在該筆資料附近的行為。下列何者最能說明 LIME 中代理模型（Surrogate model）的意義？,（A）一個全局解釋所有預測的線性代理模型；（B）用於產生擾動資料的資料生成機制；（C）一種獨立訓練的生成式模型，用於輔助預測；（D）用於擬合原黑箱模型在目標實例附近的預測行為,D｜用於擬合原黑箱模型在目標實例附近的預測行為,LIME（Local Interpretable Model-agnostic Explanations）會在欲解釋的目標實例附近產生擾動樣本，取得原黑箱模型對這些樣本的預測結果，再使用較簡單、可解釋的代理模型（Surrogate Model）擬合黑箱模型在該局部區域的行為。因此代理模型的目的不是取代原模型，而是近似解釋特定樣本附近的決策邏輯，所以答案是（D）。,可以把 LIME 想成「黑箱模型太複雜看不懂，所以在這一筆資料附近找一個簡單模型模仿它」。例如某位客戶被拒絕貸款，LIME 會稍微改動他的收入、負債比、年資等特徵，觀察原模型的預測怎麼變，再用簡單的線性模型近似這附近的決策方式。這個簡單模型只負責解釋「這一筆附近」，不是拿來解釋整個模型所有資料。**Local＋簡單模型近似黑箱行為＝LIME 的 Surrogate Model。**所以答案是（D）。
O233,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,小明在 2025 年使用 AI 模型，將自己的照片轉換為公仔風格影像。該模型在維持生成品質的同時，也能在模型規模較大的情況下兼顧運算效率。下列何者最能敘述此模型可能採用的設計方式？,（A）基於單一稠密 Transformer 架構，每次運算都使用全部模型參數；（B）採用稀疏專家混合（Sparse Mixture-of-Experts）架構，每次僅使用部分模型來提升效率；（C）採用生成對抗網路（GAN），透過兩個模型互相比較來提升影像品質；（D）採用卷積神經網路（CNN），直接進行影像轉換,B｜採用稀疏專家混合（Sparse Mixture-of-Experts）架構，每次僅使用部分模型來提升效率,"若模型希望在維持大規模參數容量的同時降低每次推論實際啟用的計算量，可採用稀疏專家混合（Sparse Mixture-of-Experts, Sparse MoE）架構，由路由機制針對不同輸入只啟用部分專家（Experts），而非每次都運算全部參數。這種設計可以擴大模型容量，同時控制單次推論所需的計算成本，因此依題意答案是（B）。",可以把 Sparse MoE 想成「公司裡有很多專家，但每個案件不需要所有人一起處理」。例如模型可能有很多組專家網路，但看到某個影像或 Token 時，只挑其中最適合的幾個專家參與運算，因此整個模型雖然很大，單次推論卻不用把全部參數都跑一次。相較之下，Dense Transformer 每次通常會啟用所有相關參數。**模型容量很大＋每次只啟用部分專家＝Sparse MoE。**所以答案是（B）。需注意，題目只描述「可能採用」的架構，不能僅憑「2025 年照片轉公仔」就判定某一特定商用影像模型實際一定使用 Sparse MoE。
O234,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,CLIP 與 DINO 皆屬於自監督學習（Self-supervised Learning）模型，但其訓練資料來源有所不同。下列何者最能正確敘述兩者在訓練資料型態上的差異？,（A）皆使用有標註圖像資料進行監督式學習；（B）皆使用未標註圖像資料進行自監督學習；（C）CLIP 使用圖像與文字配對資料，DINO 使用未標註圖像資料；（D）CLIP 使用未標註圖像資料，DINO 使用圖像與文字配對資料,C｜CLIP 使用圖像與文字配對資料，DINO 使用未標註圖像資料,CLIP 的訓練核心是利用大量圖像與文字配對資料，同時訓練圖像編碼器與文字編碼器，使相互匹配的圖像與文字在共同表示空間中更接近。 DINO 則是視覺自監督學習方法，可直接從未標註圖像中透過自我蒸餾等方式學習視覺表示，不需要圖像搭配文字描述，因此答案是（C）。,可以把兩者差異記成「CLIP 看圖片也看文字；DINO 主要自己看圖片學特徵」。CLIP 例如拿「一張狗的照片＋描述這張照片的文字」來學習圖像與文字之間的對應關係；OpenAI 對 CLIP 的說明也指出，它學習判斷哪些文字與哪些圖片互相配對。 DINO 則可以只拿大量沒有人工類別標籤的圖片，透過不同影像視角與 Teacher–Student 自我蒸餾方式學習表示。**CLIP＝Image–Text Pairs；DINO＝Unlabeled Images。**所以答案是（C）。
O235,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某企業導入大型語言模型（LLM）進行長篇法規文件的問答查詢。使用者反映，當問題需整合文件中較不相關的資訊時，模型回答的連貫性與準確性明顯下降。技術團隊認為此現象與模型架構特性有關。下列何者最能說明傳統Transformer 在此情境下的限制？,（A）模型在推理時僅能依賴固定長度的上下文窗口，無法同時處理分散於全文的資訊；（B）模型能記住的內容取決於訓練語料，推理時遇到新內容可能無法應對；（C）Transformer 在長序列處理時效率下降，但仍可完整處理所有輸入內容；（D）每次推理後 Transformer 都需重新訓練才能記住新的資訊,A｜模型在推理時僅能依賴固定長度的上下文窗口，無法同時處理分散於全文的資訊,傳統 Transformer 在處理長篇文件時，受到上下文窗口（Context Window）長度與注意力計算成本的限制；當文件內容超出可處理範圍，或關鍵資訊分散在很長的序列中時，模型較難同時有效整合所有相關內容。因此依題意，最符合的限制是模型推理時只能在有限上下文範圍內處理資訊，所以答案是（A）。,可以把這題想成「模型一次能看到的內容是有限的」。例如一份 300 頁法規，問題的答案需要同時結合第 20 頁、第 150 頁與第 280 頁的規定，如果這些內容沒有一起落在模型當下可處理的 Context Window 裡，模型就可能漏掉其中一部分。選項（C）雖然提到長序列效率下降，這確實也是 Transformer 的問題，但題目特別強調「整合分散資訊時回答變差」，核心更接近上下文範圍限制。**長文件＋資訊分散＋有限 Context Window＝傳統 Transformer 的重要限制。**所以答案是（A）。
O236,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,小明剛加入一間電商公司擔任 AI 專案的業務窗口，在與技術團隊的交接會議中，工程師說明模型訓練時，會持續比對預測值與實際值之間的差距，並透過一套機制逐步調整模型內部參數，直到預測結果趨於穩定為止。請問工程師敘述的是深度學習中哪個元件的功能？,（A）優化器（Optimizer）；（B）資料前處理模組；（C）模型架構；（D）激活函數（Activation Function）,A｜優化器（Optimizer）,優化器（Optimizer）的主要功能，是根據損失函數（Loss Function）計算出的誤差與梯度資訊，反覆更新神經網路中的權重與偏差等參數，使模型預測結果逐漸接近真實值。常見的優化器包括 SGD、Adam 等，因此答案是（A）。,可以把訓練模型想成「先看答錯多少，再決定參數要往哪個方向改」。Loss Function 負責算出預測值和正確答案差多少，反向傳播（Backpropagation）算出各參數對誤差的影響，而真正依據這些梯度去調整權重的，就是 Optimizer。像 Adam、SGD 都是常見的優化器。**Loss 告訴你錯多少；Optimizer 負責真的去改參數。**所以答案是（A）。
O237,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某醫療 AI 系統使用深度學習模型分析胸腔 X 光影像，判斷患者是否罹患肺炎。醫院評估委員會要求系統必須能夠標示「影像中哪些區域對本次診斷判斷影響最大」，以供放射科醫師進行審核確認。 下列哪一種可解釋 AI 技術最能直接滿足「標示影像中對預測結果影響最大的區域」此一需求？,"（A）LIME（Local Interpretable Model-agnostic Explanations）；（B）SHAP（SHapley Additive exPlanations）；（C）部分依賴圖（Partial Dependence Plot, PDP）；（D）顯著性圖（Saliency Map）",D｜顯著性圖（Saliency Map）,顯著性圖（Saliency Map）可針對單一輸入影像，計算各像素或影像區域對模型預測結果的影響程度，並以視覺化方式標示模型最關注的區域。因此若醫師希望直接確認胸腔 X 光中哪些部位最影響肺炎判斷，Saliency Map 最能符合此需求，所以答案是（D）。,可以把 Saliency Map 想成「在 X 光片上幫 AI 畫出它最在意的地方」。例如模型判斷病患可能有肺炎後，可以用熱區方式標出某一側肺部陰影是影響這次預測的重要區域，醫師就能進一步確認 AI 是否看對位置。LIME、SHAP 也能做模型解釋，但如果題目明確問「直接標示影像中哪些區域最重要」，最典型的工具就是 Saliency Map。**影像＋標出重要區域＝Saliency Map。**所以答案是（D）。
O238,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某電商平台希望偵測異常評論行為，例如大量重複貼文或疑似機器人生成的評論。由於此類異常樣本難以事先完整標記，系統主要依據大量正常評論的分布來識別偏離行為。下列哪一種機器學習框架最能滿足此系統的設計需求？,（A）非監督式學習（Unsupervised Learning）的關聯規則挖掘，從評論中找出常見字詞組合；（B）監督式學習（Supervised Learning）的二元分類，從已標記資料學習分類模型；（C）半監督式學習（Semi-supervised Learning）的異常偵測，辨識偏離正常分布的評論行為；（D）強化學習（Reinforcement Learning），透過回饋機制優化評論判斷策略,C｜半監督式學習（Semi-supervised Learning）的異常偵測，辨識偏離正常分布的評論行為,半監督式異常偵測（Semi-supervised Anomaly Detection）常利用大量已知或可視為正常的資料來學習正常行為模式，再將明顯偏離正常分布的樣本判定為可能異常。題目中異常評論難以完整標記，但正常評論資料充足，因此適合以正常資料建立基準，再辨識大量重複貼文、機器人評論等偏離行為，所以答案是（C）。,可以把這種方法想成「不一定要先收集所有壞人的樣子，只要先把正常人的行為學得夠清楚，就能抓出特別不正常的行為」。例如一般使用者一天可能留言幾次、內容具有一定差異，但某帳號短時間大量貼出幾乎完全相同的評論，就明顯偏離正常分布。選項（B）需要大量且完整的正常／異常標籤，但題目已說異常樣本很難事先標記；（A）只是找常見關聯，不等於異常偵測；（D）也不是此類問題的典型框架。**正常資料充足＋異常標籤不足＋找偏離正常模式＝半監督式異常偵測。**所以答案是（C）。
O239,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,"在命名實體辨識（Named Entity Recognition, NER）任務中，模型需根據整句文字判斷每個詞的標籤，並考慮詞與詞之間的關聯性。若採用 ConditionalRandom Field（CRF）作為模型，下列何者最能描述其模型類型？",（A）生成式模型（Generative Model）；（B）無監督模型（Unsupervised Model）；（C）鑑別式模型（Discriminative Model）；（D）自迴歸模型（Autoregressive Model）,C｜鑑別式模型（Discriminative Model）,"條件隨機場（Conditional Random Field, CRF）屬於鑑別式模型（Discriminative Model），它直接建模在已知輸入序列 X 的情況下，輸出標籤序列 Y 的條件機率 P(Y∥X)。在 NER 等序列標註任務中，CRF 不只考慮單一詞的特徵，也會考慮相鄰標籤之間的依賴關係，因此答案是（C）。",可以把 CRF 想成「已經看到整句話，再判斷每個詞應該貼什麼標籤」。例如「台北市長蔣萬安」這句話，模型不只看「台北」或「蔣萬安」單一詞，也會一起考慮前後文與標籤之間是否合理。它的重點是直接判斷「給定這句輸入，最可能的標籤序列是什麼」，而不是先生成文字資料。**直接學 P(Y∥X)＋進行序列標註＝Discriminative Model。**所以答案是（C）。
O240,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某音樂串流平台希望開發一套 AI 系統，能根據平台上累積的大量歌曲資料，自動生成具有不同風格變化的全新旋律，供創作者作為靈感參考。平台技術長在評估方案時強調，系統不能只是播放或拼接既有歌曲片段，也不能僅進行資料的重建，而是要真正學習音樂的結構與風格，並創作出從未出現過的新旋律。請問下列哪一種模型技術最符合此需求？,"（A）K-近鄰演算法（K-Nearest Neighbors, KNN）；（B）自編碼器（Autoencoder）；（C）生成對抗網路（GAN）；（D）隨機森林（Random Forest）",C｜生成對抗網路（GAN）,"生成對抗網路（Generative Adversarial Network, GAN）由生成器（Generator）與鑑別器（Discriminator）相互對抗訓練，生成器逐步學習真實資料的分布與結構，以產生新的樣本。因此若希望模型學習歌曲的風格與結構，並創作出未曾出現過的新旋律，GAN 比 KNN、Random Forest 或單純重建導向的 Autoencoder 更符合需求，所以答案是（C）。",可以把 GAN 想成「一個負責創作，一個負責挑毛病，兩邊互相比賽，最後把創作品質逼高」。Generator 負責產生新旋律，Discriminator 則判斷這段旋律像不像真實歌曲；經過不斷對抗後，生成器會逐漸學會音樂資料中的節奏、結構與風格。KNN 和 Random Forest 主要是分類或預測工具，Autoencoder 則較偏向壓縮與重建資料。**真正產生全新內容＋學習資料分布＝GAN。**所以答案是（C）。
O241,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某資安公司正在評估導入機器學習模型來偵測網路流量中的異常連線行為。技術團隊在比較各種演算法時，其中一位工程師建議採用支援向量機（SVM）。請問下列何者最正確敘述支援向量機的特性？,（A）擅長處理大規模非結構化資料，且模型訓練完成後可自動適應新進資料而無需重新建模；（B）透過多個模型的集體決策來提升預測穩定性，在資料量不足時仍能維持一定的準確率；（C）在高維度且樣本數相對有限的情境下表現良好，但當訓練資料量龐大時運算成本會顯著上升；（D）具備強大的特徵自動萃取能力，特別適合影像與語音等需要逐層抽象化處理的複雜任務,C｜在高維度且樣本數相對有限的情境下表現良好，但當訓練資料量龐大時運算成本會顯著上升,"支援向量機（Support Vector Machine, SVM）透過尋找能最大化類別間隔的超平面進行分類，並可搭配核函數（Kernel Function）處理非線性問題。SVM 在高維度、樣本數相對有限的資料情境中常具有良好表現，但隨著訓練資料量大幅增加，其訓練時間與記憶體需求可能顯著上升，因此答案是（C）。",可以把 SVM 想成「在兩群資料中間找一條最安全、間隔最大的分界線」。當特徵很多、但樣本數不是非常龐大時，SVM 往往表現不錯，例如網路流量有很多不同特徵時就可能適用；但如果一次丟進數百萬甚至更多筆資料，計算成本就可能快速增加。選項（B）比較像 Random Forest 等 Ensemble 方法；（D）則比較像 Deep Learning 的自動特徵萃取。**高維度＋中小型資料常表現佳；超大資料量成本高＝SVM。**所以答案是（C）。
O242,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,下列哪一項是可解釋人工智慧（XAI）領域，LIME（Local Interpretable Modelagnostic Explanations）最可能被用於的情境？,（A）分析即時通訊系統中訊息傳輸效率的瓶頸；（B）建立機制以強化系統中的資料安全與隱私保護；（C）當某筆貸款申請被模型拒絕時，分析該筆資料中各項因素與結果之間的關聯；（D）監控並優化推薦系統的回應速度與系統效能，以提升整體使用體驗,C｜當某筆貸款申請被模型拒絕時，分析該筆資料中各項因素與結果之間的關聯,LIME（Local Interpretable Model-agnostic Explanations）屬於局部可解釋方法，主要用來解釋某一筆特定資料的模型預測結果。它會分析該筆資料附近的模型行為，估計各特徵對此次預測結果的影響，因此當某筆貸款申請被拒絕時，可用來說明收入、負債比、信用紀錄等因素如何影響該次決策，所以答案是（C）。,可以把 LIME 想成「不要問整個模型平常怎麼想，而是問：為什麼這一個人被拒絕？」例如某位客戶貸款被拒，LIME 可以分析這筆資料附近的變化，指出負債比可能是主要負面因素、收入可能是正面因素。它不是用來改善網路傳輸效率、資安或系統速度，而是用來解釋單一預測結果。**特定一筆資料＋解釋哪些特徵影響這次結果＝LIME。**所以答案是（C）。
O243,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某信用評分公司導入 SHAP（SHapley Additive exPlanations）框架分析機器學習模型的輸出行為。分析師希望了解：「對於某位特定申請人被評為高風險的信用評分，各項輸入特徵分別對這個評分結果貢獻了多少」。下列哪一項最能正確說明 SHAP Shapley 值在此情境中所提供的資訊？,（A）各特徵在模型訓練過程中對結果穩定性的影響程度；（B）此申請人的各項特徵，分別讓風險評分上升或下降的影響程度；（C）各特徵在所有客戶資料中對整體預測準確度的影響程度；（D）各特徵在模型中被使用的頻率,B｜此申請人的各項特徵，分別讓風險評分上升或下降的影響程度,SHAP（SHapley Additive exPlanations）以合作賽局理論中的 Shapley Value 為基礎，將某一筆預測結果相對於基準值（Baseline）的差異分配給各個輸入特徵，用來表示每個特徵對該次預測的正向或負向貢獻。因此在信用評分情境中，可以說明此申請人的收入、負債比、信用紀錄等特徵，分別讓風險評分上升或下降多少，所以答案是（B）。,可以把 SHAP 想成「把這次高風險評分拆帳，看每個特徵各自貢獻多少」。例如模型原本的基準風險分數是 50 分，某人的高負債比讓風險增加 15 分、穩定收入讓風險降低 8 分、曾經逾期又增加 20 分，這些就是各特徵的 SHAP Value。它不是在看模型訓練穩不穩，也不是單純統計某個特徵被用了幾次。**單一個案＋各特徵讓預測上升或下降多少＝SHAP。**所以答案是（B）。
O244,官方考題模式,官方模擬考｜115年第二次｜第一科：人工智慧基礎概論,某金融集團評估將大型語言模型導入客服與風控系統，團隊採用如 120B 參數等級的超大型語言模型以確保回應品質。請問下列何者最能說明企業在正式環境部署超大型語言模型時，最需要優先考量的因素？,（A）模型參數量龐大，導致每次輸出結果差異極大，難以符合金融業對回應一致性的要求；（B）超大型模型無法支援批次處理，在高併發的客服場景下將造成嚴重的服務瓶頸；（C）推理延遲較高且運算資源消耗龐大，每次請求成本遠高於小型模型，需在模型效能與營運成本之間審慎權衡；（D）模型會依任務複雜度自動調整運算資源配置，因此不需特別考量推理成本,C｜推理延遲較高且運算資源消耗龐大，每次請求成本遠高於小型模型，需在模型效能與營運成本之間審慎權衡,超大型語言模型具有龐大的參數規模，正式部署時通常需要更多 GPU／加速器記憶體、運算資源與能源，並可能帶來較高推理延遲與單次請求成本。因此企業需在模型品質、回應速度、併發能力與總體營運成本之間進行權衡，而不能只追求參數規模，所以答案是（C）。,可以把這題想成「模型越大，通常能力可能更強，但每一次回答也更貴、更吃硬體」。例如 120B 等級模型在大量客服同時詢問時，需要更多 GPU 記憶體與運算量，Token 成本、延遲與基礎設施費用都可能比小型模型高很多。因此企業不會只問「最大的模型是不是最好」，而要問「這個品質提升值不值得增加這麼多成本」。選項（A）不是參數多就一定輸出極不穩定；（B）超大型模型也可以做批次處理；（D）更不代表可以忽略成本。**Large Model Deployment 的核心是效能、Latency 與 Cost 的權衡。**所以答案是（C）。
